Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
011/07,فهرس المخطوطات العربية التركية والفارسية والبوسنوية,"(إعداد) فهيم علي, ناميتاك",لندن - سرايفو,مكتبة الغازي منسروبك,1998,N/A,ببليوغرافيا,14098
02/02,مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ, تيد, لوسي",عمان,المنظمة العربية للعلوم الإدارية,1985,465,علم المكتبات,14099
3/43,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,"أ, سليكيو كارل,",القاهرة.,الدار الدولية للنشر والتوزيع.,1999,348,العلوم الاجتماعية.,14100
32/83,التحليل السياسي الحديث,"أ,د, آل روبرت",القاهرة,مركز الأهرام للترجمة والنشر,1993,204,العلوم السياسية,14101
330.114/01,جدل حول التقدم,"أباظة, ابراهيم دسوقي",البيضاء,دار الكتاب,1975,30,الاقتصاد السياسي,14102
297.911/06,الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973,159,الإسلام والعلوم الإقتصادية,14103
611/01,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980,443,علم التشريح,14104
93:297/28,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,581,التاريخ الاسلامي,14105
93:297/29,تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,506,التاريخ الاسلامي,14106
93:297/30,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,500,التاريخ الاسلامي,14107
801.56/74,التأنيث في اللغة العربية,"إبراهيم, بركات إبراهيم",القاهرة,دار الوفاء للطباعة والنشر والتوزيع,1988,357,النحو العربي,14108
93:297/31,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع,"إبراهيم, حسن حسن",القاهرة,مكتبة النهضة المصرية,1964,702,التاريخ الاسلامي,14109
101.9/09,هيجل أو المثالية المطلقة. الجزء الأول,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1970,477,شخصيات فلسفية : هيجل,14110
140/01,"مشكلة البنية أو أضواء على ""البنيوية","إبراهيم, زكريا",مصر,مكتبة مصر,1976,264,فلسفة: البنيوية,14111
18.01/06,فلسفة الفن في الفكر المعاصر,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1966,420,فلسفة الجمال,14112
82.09/11,تاريخ النقد الأدبي عند العرب من العصر الجاهلي الى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الحكمة,N/A,189,النقد الأدبي,14113
82.09/97,تاريخ النقد الادبي عند العرب في العصر الجاهلي إلى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الكتب العلمية,N/A,188,النقد الادبي,14114
82-31_533/01,القصة اليمنية المعاصرة (1939 -1976),"إبراهيم, عبد الحميد",بيروت,دار العودة,1977,415,الرواية,14115
159.97/11,"العلاج النفسي الحديث, قوة للإنسان","إبراهيم, عبد الستار",القاهرة,مكتبة مدبولي,1983,207,علم النفس المرضي,14116
801.56/08,النحو الوظيفي,"إبراهيم, عبد العليم",القاهرة,دار المعارف,1978,443,النحو العربي,14117
371/29,المناهج: أسسها وتنظيماتها وتقويم أثرها,"إبراهيم, عبد اللطيف فؤاد",القاهرة,مكتبة مصر,1980,654,مناهج وطرق التدريس,14118
297.95/18,الإسلام في آفاق سنة ألفين,"إبراهيم, عبد الله",الدار البيضاء,مكتبة النجاح الجديدة,1979,109,الإسلام والقضايا العالمية المعاصرة,14119
297.418/02,عناصر الإسلام وطرق هديه,"إبراهيم, معوض عوض",بيروت,دار القلم,1977,261,الوعظ والإرشاد,14120
312.82/01,المدينة ومشاكل الإسكان,"أبرمز, تشارلز",بيروت,دار الآفاق الجديدة,1964,230,علم السكان,14121
61:92_927/01 ج1و2,عيون الأنبياء في طبقات الأطباء,أبن أبي أصيبعة,بيروت,دار الثقافة,1981,371,طب بيوغرافيا,14122
61_927/09,الطب العربي,إبن البيطار,بيروت,دار العلم للجميع,N/A,250,الطب العربي,14123
93_468.1/04 ج2,تاريخ العلماء والرواة للعلم بالأندلس,"أبن الفرضي, أبو الوليد عبد الله بن محمد",القاهرة,مكتبة الخانجي,1988,268,تاريخ الأندلس,14124
78_64/05,التراث العربي المغربي في الموسيقى,"إبن جلون, التومي إدريس",الدار البيضاء,مطبعة الرايس,1979,367,الموسيقى بالمغرب,14125
297.484/02 ج1,الزواجر عن اقتراف الكبائر,"أبن حجر الهيثمي, أبو العباس أحمد بن محمد",بيروت,دار الكتاب العالمي,1987,446,الكبائر,14126
930.1/23,مقدمة ابن خلدون,"أبن خلدون, عبد الرحمن بن محمد",بيروت,دار القلم,N/A,457,علم التاريخ,14127
930.85_927/11,وفيات الأعيان وأنباء أبناء الزمان. الجزء الثالث,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,N/A,507,تاريخ حضارة العرب,14128
930.85_927/14,وفيات الاعيان وأنباء أبناء الزمان. الجزء السادس,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,N/A,432,تاريخ حضارة العرب,14129
961.1/05,الدولة الصنهاجية,"أبن عامر, أحمد",تونس,الدار التونسية للنشر,1972,114,تاريخ تونس,14130
297.4/06,أعلام الموقعين عن رب العالمين. المجلد التاني,"إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",بيروت,دار الجيل,1973,427,الفقه والشريعة,14131
297.8/13,كتاب المنية والأمل في شرح الملل والنحل,"إبن منصور الحسني, أحمد بن يحيى",لبنان,دار الفكر,1979,231,الفرق والطوائف الإسلامية,14132
159.9/12,علم النفس الصناعي : بحوث عربية وعالمية,"أبو االنيل, محمود السيد",بيروت,دار النهضة العربية,1985,686,علم النفس الصناعي,14133
297.43/35,الحياة الإجتماعية من خلال بعض كتب الحسبة,"أبو الأجفان, محمد",بغداد,وزارة الأوقاف,N/A,52,التشريع الإسلامي,14134
621.316.1/05,إقتصاديات نظم القدرة الكهربائية,"أبو الخير, محمد هاشم",دمشق,جامعة دمشق,1991,316,الشبكات الكهربائية,14135
331/09,الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل,"أبو السعود, رمضان",بيروت,الدار الجامعية,1983,523,القانون الاجتماعي,14136
961.1/08,عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية,"أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",بيروت,دار الآفاق الجديدة,1979,460,تاريخ تونس,14137
51/33,علم الحساب,"أبو العباس, أحمد",بيروت,دار المعارف,1986,313,الرياضيات,14138
35/12,حركة العلاقات الانسانية في الادارة,"أبو العرف, فتوح محمود",N/A,مطابع سجل العرب,1977,38,القانون الاداري,14139
82.091/98,الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعت عبد العزيز",الاسكندرية,الهيئة المصرية العامة للكتاب,1981,463,دراسات أدبية,14140
91/11,كوكب الأرض ظواهره التضارسية الكبرى,"أبو العينين, سيد احمد حسن",الأسكندرية,مؤسسة التقافة الجامعية,1976,596,الجغرافية,14141
801.3/07,المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث,"أبو الفرج, محمد أحمد",بيروت,دار النهضة العربية,1966,150,معاجم لغوية,14142
31/26,أساليب الإحصاء التطبيقي,"أبو القاسم, علي",قبرص,دار الشباب,1987,336,الإحصاء,14143
801.56/31,تقويم الفكر النحوي,"أبو المكارم, علي",بيروت,دار الثقافة,1975,291,النحو العربي,14144
681.3/24,التجارب العلمية في الدراسات المنطقية والحاسبات العدوية,"أبو النور, حسن",دمشق,مطبعة جامعة دمشق,1988,116,إعلاميات,14145
159.9/13,علم النفس والشائعات: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986,243,علم النفس,14146
159.9/16,القيم والانتاج : دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986,153,علم النفس,14147
159.9.052/10 ج1,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1985,661,علم النفس الإجتماعي,14148
159.9.072/02,التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1986,470,علم النفس: القياس النفسي,14150
347.918/01,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978,383,المسطرة المدنية,14151
347.918/03,عقد التحكيم واجراءاته,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1974,355,المسطرة المدنية,14152
323.27/15,الحوار الاستراتيجي الشامل: رموز الجيل الجديد في الأراضي المحتلة بتحدثون,"أبو بكر, توفيق",N/A,مطابع القبس التجارية,1988,172,الثورات,14153
82-1/15,ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا,"أبو بكر, حميد محمد",بيروت,دار المناهل,1987,289,ديوان شعري,14154
665.6/12,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية الكتب والمطبوعات الجامعية,1983,690,الصناعة النفطية,14155
32/57,الفكر السياسي الحديث,"أبو جابر, فايز صالح",بيروت,دار الجيل,1985,261,علوم سياسية,14157
368/04,التأمين بين الحضر والإباحة,"أبو جيب, سعدي",بيروث,دار الفكر المعاصر,1989,96,التأمين,14158
82.091/97,الإلتزام في الشعر العربي,"أبو حاقة, أحمد",بيروت,دار العلم للملايين,1979,756,دراسة أدبية,14159
612/03 ج1,الفيزيولوجيا العامة: وظائف الاتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989,536,الفيزيولوجيا,14160
612/03 ج2,الفيزيولوجيا العامة: وظائف الإتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989,1199,الفيزيولوجيا,14161
575/06,علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986,340,الوراثة,14162
37:297/15,أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي,"أبو حويج, مروان سليم",الكويت,الدار الجامعية,1987,528,علوم التربية والإسلام,14164
297.125/104 ج1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987,1015,القرآن : تفسير,14165
297.81/01,الإشارات الإلهية,أبو حيان التوحيدي,بيروت,دار الثقافة,1973,486,التصوف,14168
82-9/08,"كتاب الأمتاع والمؤانسة. الجزء الأول, الثاني والثالث","أبو حيان التوحيدي, علي بن محمد",بيروت,دار مكتبة الحياة,N/A,737,الأنواع الأدبية المختلفة,14169
82-9/11,المقابسات,"أبو حيان التوحيدي, علي بن محمد",بيروت,دار المدى للطباعة والنشر,1986,264,الأنواع الأدبية المختلفة,14170
577.15/01,علم الإنزمات,"أبو خرمة, دياب",دمشق,منشورات جامعة دمشق,1992,284,علم الإنزيمات,14171
325/03,صحافي من فلسطين.. يتذكر,"أبو خضرا, كنعان",N/A,N/A,1985,283,السياسة الإستعمارية,14172
297/14,الإسلام في قفص الإتهام,"أبو خليل, شوقي",دمشق,دار الفكر,1977,326,الإسلام,14173
297.214/01,سنن أبي داود. الجزء الأول والثاني,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,N/A,656,حديث أبي داود,14174
297.214/02,سنن أبي داود. الجزء الثالث والرابع,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,N/A,379,حديث أبي داود,14175
801/30,في الشعرية,"أبو ديب, كمال",بيروت,مؤسسة الأبحاث العلمية,1987,160,اللسانيات,14176
82-4/15,جدلية الخفاء والتجلي: دراسات بنيوية في الشعر,"أبو ديب, كمال",بيروت,دار العلم للملايين,1981,309,دراسة وأبحاث معاصرة,14177
82-4/18,في البنية الإيقاعية للشعر العربي: نحو بديل جدري لعروض الخليل ومقدمة في علم الإيقاع المقارن,"أبو ديب, كمال",بيروت,دار العلم للملايين,1974,543,دراسة وأبحاث معاصرة,14178
297.7/02,عمرو بن العاص بين يدي التاريخ: مع رواية جديدة لبعض أحداث الفتح العربي لمصر,"أبو رابية, عبد الخالق سيد",القاهرة,الزهراء للإعلام العربي,1988,352,تراجم وأعلام,14179
1:297/91,أصول الفلسفة الاشراقية عند شهاب الدين السهروردي,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1978,409,فلسفة إسلامية: الفلسفة الاشراقية,14180
183_091/01,تاريخ الفكر الفلسفي : الفلسفة اليونانية. الجزء الأول: من طاليس إلى أفلاطون,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976,371,تاريخ الفلسفة اليونانية,14181
185/01,تاريخ الفكر الفلسفي: أرسطو والمدارس المتأخرة,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976,514,فلسفة أرسطو,14182
297.22/27 ج1,المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,N/A,1982,257,الحديث,14183
297.41/02,أصول الفقه,"أبو زهرة, محمد",N/A,دار الفكر العربي,1958,416,أصول الفقه,14186
297.41/10,موسوعة الفقه الإسلامي. الجزء الأول,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967,276,الفقه الإسلامي,14187
297.41/11,موسوعة الفقه الإسلامي. الجزء الثاني,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967,439,الفقه الإسلامي,14188
297.432.8/04,الجريمة و العقوبة في الفقه الإسلامي : العقوبة,"أبو زهرة, محمد",بيروت,دار الفكر العربي,N/A,607,الإسلام و القضاء,14189
297.728/03,مالك : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1946,398,سير أئمة المذاهب الإسلامية,14190
297.728/04,أبو حنيفة : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1947,436,سير أئمة المذاهب الإسلامية,14191
297.74/02,ابن تيمية : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977,543,سير الفقهاء,14192
297.74/03,ابن حزم : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977,606,سير الفقهاء,14193
297.15/12,المنحى الإعتزالي في البيان و إعجاز القرآن,"أبو زيد, أحمد",الرباط,مكتبة المعارف,1986,395,القرآن : توضيح البيان ـ المعتزلة,14194
801.5/31,البديعيات في الأدب العربي نشأتها - تطورها - أثرها,"أبو زيد, علي",بيروت,عالم الكتب,1983,336,البلاغة العربية : البديع,14195
1:297/134,التصور الدري في الفكر الفلسفي الإسلامي,"أبو زيد, منى أحمد",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1994,400,فلسفة إسلامية,14196
82-1_إس_/06,مفهوم النص دراسة في علوم القرآن,"أبو زيد, ناصر حامد",الدار البيضاء,المركز الثقافي العربي,1990,319,الأدب الإسلامي,14197
347.51_624/01,أصول المسؤولية التقصيرية في قانون المعاملات,"أبو سعد, محمد شتا",القاهرة,مطبعة جامعة القاهرة,1984,134,المسؤولية بوجه عام,14198
330.11/27,تنمية وتعبئة مصادر المياه في الوطن العربي,"أبو سعده, سعيد محمد",الكويت,مؤسسة الكميل للتوزيع والإعلان والنشر,1987,153,الأهداف والظواهر الإقتصادية,14199
82-1_جا/23,دراسات في الشعر الجاهلي,"أبو سويلم, أنور",بيروت,دار الجيل,1987,136,الأدب الجاهلي,14200
626/04,الهيدروليك التطبيقي للمهندسين المدنيين,"أبو سيف, عطا الله",دمشق,جامعة دمشق,1985,236,الهندسة المائية,14201
621.38/06 ج2,الالكترونيات. الجزء الثاني,"أبو شاهين, الياس",دمشق,جامعة دمشق,1986,310,الالكترونيات,14202
30/40,العينات وتطبيقاتها في البحوث الاجتناعية,"أبو شعر, عبد الرزاق أمين",الرياض,معهد الإدارة العامة للبحوث,1997,470,علم الاجتماع: مناهج البحث,14203
35/41,بعض سياسات الافراد بالجهاز الحكومي في المملكة الأردنية الهاشمية,"أبو شيخة, ناذر أحمد",عمان,المنظمة العربية للعلوم الادارية,1985,66,القانون الاداري,14204
62-1/05,هندسة الانتاج: آلات التشعيل,"أبو صالح, حسن",سوريا,جامعة حلب,1982,399,آلات التشغيل,14205
62-34/04,التحكم الآلي,"أبو صالح, حسن",سوريا,جامعة حلب,1991,715,الهندسة الميكانيكية : التحكم الآلي,14206
669/05,طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",بغداد,"الجامعة التكنولوجية, مركز التعريب والنشر",1982,488,الميتالورجيا,14207
669/08,الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية,1982,454,الميتالورجيا,14208
336/03,موازنة البرامج بين النظرية والتطبيق,"أبو صقر, حبيب",عمان,المنظمة العربية,1981,72,المالية العامة,14209
946.81/16,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1983,507,تاريخ العرب الأندلسي,14210
343.2/09,قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",بيروت,الدار الجامعية,1984,412,القانون الجنائي,14211
801.551/13 ق1,المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",طرابلس,دار الكتاب والتوزيع والإعلان والمطابع,1982,515,الإعراب,14213
327/41 ج1,تلك الأيام مذكرات وذكرايات - الجزء الأول,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982,1543,العلاقات السياسية الدولية,14215
327/41 ج2,تلك الأيام مذكرات وذكريات. الجزء الثاني,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982,3302,العلاقات السياسية,14216
935/01,معركة استقلال المغرب,"أبو عزام, محمد التهامي السلوي",N/A,N/A,N/A,221,التاريخ المغربي,14217
92/04,المقاومة والوجدان عب الشعب والذات,"أبو عزام, محمد السلوى",البيضاء,مطبعة النجاح الجديدة,1990,682,بيوغرافيا,14218
82-84/05,كتاب الأمثال,"أبو عكرمة الضبي, عامر بن عمران",دمشق,مجمع اللغة العربية,1974,188,الأمثال والحكم,14219
378/44,التعليم العالي في بريطانيا,"أبو عمه, محمود بن عبد الرحمان",الرياض,مكتب التربية العربي لدول الخليج,2000,352,التعليم العالي,14220
911.3:312/03,جغرافية السكان وأسسها الديمغرافية العامة,"أبو عيانة, فتحي محمد",الإسكندرية,دار الجامعة المصرية,1977,518,الجغرافية البشرية,14221
911.3:312/07,دراسات في جغرافية السكان,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1978,526,الجغرافية البشرية,14222
911.3:312/08,السكان والعمران الحضري: بحوث تطبيقية في بعض الأقطار العربية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984,604,جغرافية السكان,14223
911.3:33/06,الجغرافية الإقتصادية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984,668,الجغرافية الإقتصادية,14224
916/09,جغرافية إفريقية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1983,540,جغرافية إفريقيا,14225
911/08,دراسات في الجغرافيا السياسية,"أبو عيانه, فتحي محمد",بيروت,دارالنهضة العربية,1971,543,الجغرافية العامة,14226
091:51/02,كتاب الجبر والمقابلة,"أبو كامل, شجاع بن أسلم",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986,221,مخطوطات: الرياضيات,14227
323/14,سقوط حكومة نشنياهو,"أبو مازن, محمود عباس",رام الله,المركز الفلسطيني للدراسات الإقليمية,N/A,102,السياسة الداخلية,14228
091:52/04,المدخل الكبير الى علم أحكام النجوم,"أبو معشر, جعفر بن محمد",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1985,477,مخطوطات: علم الفلك,14229
82.09/12,النقد البنيوي الحديث بين لبنان وأوروبا: صوص - حجاليات - تطلعات,"أبو منصور, فؤاد",بيروت,دار الجيل,1985,511,النقد الأدبي,14230
82-9/09,أراغون في مواجهة العصر,"أبو منصور, فؤاد",بيروت,المؤسسة العربية للدراسات والنشر,1982,292,الأنواع الأدبية المختلفة,14231
801/12,الألسنية والنقد الأدبي في النظرية والممارسة,"أبو ناضر, موريس",بيروت,دار النهار,1979,166,اللسانيات,14232
82-1/13,ديوان أبي نواس,أبو نواس,بيروت,دار صادر,N/A,717,ديوان شعري,14233
1:297/95,كتاب المعتمد في أصول الدين,"أبو يعلى الحنبلي, محمد ابن الحسين",بيروت,دار المشرق,1974,333,فلسفة إسلامية,14234
956.95/03,متحف التاريخ الطبيعي الأردني,"أبو يمن, إبراهيم خليل",جامعة اليرموك,مطبعة جامعة اليرموك,1985,98,تاريخ الأردن,14235
323.1_569.6/01,قادة فلسطينيون في حوار استراتيجي,"أبوبكر, توفيق",N/A,مطابع القبس التجارية,1987,203,الحركات الوطنية,14236
665.6/16,المدخل إلى كمياء البترول,"أبوبكر, محمد",حلب,جامعة حلب,1980,424,التكنولوجيا النفطية,14237
297.74/08,منشورات كلية الآداب والعلوم الانسانية,أبوحامد الغزالي : دراسات في فكره وعصره وتأثيره,الرباط,N/A,1988,318,سير الفقهاء,14238
72_091/05 ج1,تاريخ العمارة: تاريخ العمارة الحديثة : الجزء الأول,"أبوحديد, يوسف",دمشق,جامعة دمشق,1988,127,تاريخ الهندسة المعمارية,14239
54/01,الكيمياء التحليلية (2): مبادئ التحليل الكمي ةالآلي,"أبودان, محمود",دمشق,جامعة حلب,1988,373,الكيمياء,14240
546/02,الكيمياء العامة واللاعضوية,"أبودان, محمود",N/A,مديرية الكتب والمطبوعات الجامعية,1990,457,الكيمياء اللاعضوية,14241
297.26/20,أضواء على السنة المحمدية أو دفاع عن الحديث,"أبورية, محمود",مصر,دار المعارف,1976,422,الحديث : الرواة والرواية,14242
347.23:297/01,الملكية ونظرية العقد في الشريعة الإسلامية,"أبوزهرة, محمد",بيروت,دار الفكر العربي,1972,470,القانون المدني,14243
297.126/27,التناسب البياني في القرآن : دراسة في النظم المعنوي والصوتي,"أبوزيد, أحمد",الرباط,منشورات كلية الآداب والعلوم الانسانية,1992,398,القرآن توضيح البيان,14244
39/09,محاضرات في الأنثروبولوجيا الثقافية,"أبوزيد, أحمد",بيروت,دار النهضة العربية,1978,205,الأنثربولوجيا,14245
1:297/101,فلسفة التأويل: دراسة في تأويل القرآن عند محي الدين بن عربي,"أبوزيد, نصر حامد",بيروت,دار التنوير,1983,427,فلسفة إسلامية,14246
1:297/12,الإتجاه العقلي في التفسير: دراسة في قضية المجاز في القرآن عند المعتزلة,"أبوزيد, نصر حامد",بيروت,دار التنوير,1982,280,فلسفة إسلامية: المعتزلة,14247
35_297/01,نظرية الادارة في الاسلام نظرة متكاملة لمعالجة السلوك الاداري,"أبوسن, أحمد إبراهيم",عمان,المنظمة العربية للعلوم الادارية,1981,65,القانون الاداري,14248
35/47,إدارة البحث العلمي في الوطن العربي,"أبوشيخة, نادر أحمد",عمان,المنظمة العربية للعلوم الإدارية,1986,92,القانون الإداري,14249
964/152,أثر القبائل العربية في الحياة المغربية: خلال عصري الموحدين وبني مرين,"أبوضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1982,376,تاريخ المغرب,14250
637/04,كيمياء الألبان وتحليلها,"أبوغرة, صباح",دمشق,N/A,1992,292,الإنتاج الحيواني,14251
631.4/01,أساسيات الأرضي الدزء العلمي,"أبونقطة, فلاح",دمشق,N/A,1987,103,علم التربية,14252
582.28/01,أساسيات علم الفطريات,"أبوهيلة, عبد الله بن ناصر",الرياض,المملكة العربية السعودية,1987,543,الفطريات,14253
37/34,التربية المقارنة: التربية في الوطن العربي,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992,157,التربية والتعليم,14254
37/65,التربية المقارنة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992,201,التربية والتعليم,14255
37_091/06,تاريخ التربية في العصور القديمة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992,109,تاريخ التربية,14256
37_091/07,تاريخ التربية وعلم النفس عند العرب,"أبيض, ملكة",دمشق,مطبوعات جامعة دمشق,1990,156,تاريخ التربية,14257
323.1/23 ج1,القضية الفلسطينية والصراع العربي الصهيوني. الجزء الأول,إتحاد الجامعات العربية,N/A,مديرية مطبعة الجامعة,1983,563,الحركات الوطنية,14258
378/20,"الدراسات القنونية: الندوة الأولى لعمداء كليات الحقوق بالجامعات العربية. جامعة بيروت العربية, أبريل 1973",إتحاد الجامعات العربية,بيروت,جامعة بيروت العربية,1973,402,التعليم العالي,14259
378/27,دور التعليم الجامعي والعلي في التنمية الشاملة: بحوت مختارة من المؤتمر العام الخامس لإتحاد الجامعات العربية,إتحاد الجامعات العربية,عمان,إتحاد الجامعات العربية,1990,272,التعليم العالي: التعليم التنموي,14260
620.9/03,أبحات ندوة الطاقة المتجددة جامعة حلب 29 أيلول- 2 تشرين الأول 1986,إتحاد الجامعات العربية,حلب,جامعة حلب,1986,841,الطاقة,14261
378/29,ندوة القبول في التعليم العالي: بحوت مختارة,إتحاد الجامعات العربية - إتحاد الجامعات الدول - الجامعة الأردنية,عمان,الجامعة الأردنية,1988,218,التعليم العالي,14262
378/28,ندوة طرائق التدريس في الجامعات العربية (بحوت مختارة),إتحاد الجامعات العربية - الجامعة المستنصرية - مكتب اليونسكو الإقليمي,عمان,إتحاد الجامعات العربية,1988,252,التعليم العالي: مناهج وطرق التدريس,14263
378/26,ندوة تحديث الإدارة الجامعية: بحوت مختارة الواقائع والتوصيات,إتحاد الجامعات العربية - منظمة اليونسكو - جامعة اليرموك,عمان,إتحاد الجامعات العربية,1989,472,التعليم العالي: الإدارة الجامعية,14264
378/14,الدراسات التربوية: الندوة الأولى لعمداء كليات التربية والمعلمين بالجامعات العربية نونبر 1974,"إتحاد الجامعات العربية,الأمانة العامة",N/A,الجامعة المستنصرية,1974,469,التعليم العالي,14265
378/25,"وقائع وتوصيات ندوة ""طرائق التدريس في الجامعات العربية"" التي عقدة في رحاب الجامعة المستنصرية بالجمهورية العراقية في 20 - 22/12/1988",إتحاد الجامعات العربية الأمانة العامة,عمان,إتحاد الجامعات العربية,1988,34,التعليم الجامعي,14266
62/03,الدراسات الهندسية: الندوة الثانية لعمداء كليات الهندسة بالجامعات العربية جامعة الموصل آذار 1976,"إتحاد الجامعات العربية, الأمانة العامة",N/A,جامعة الموصل,1976,99,الهندسة,14267
63/31,"الإرشاد الزراعي: الندوة الثالتة لعمداء كليات الزراعية بالجامعات العربية جامعة طرابلس 21-27 أبريل 1974, الأمانة العامة","إتحاد الجامعات العربية, الأمانة العامة",N/A,جامعة طرابلس,1974,252,الزراعة,14268
63/32,الدراسات الزراعية: الندوة الرابعة لعمداء كليات الزراعة بالجامعات العربيةجامعة الخرطوم ديسمبر 1976,"إتحاد الجامعات العربية, الأمانة العامة",N/A,جامعة الخرطوم,1976,222,الزراعة,14269
57/05,المؤتمر العلمي العربي الثاني لعلوم الحياة كلية العلوم فاس 17 - 20 مارس 1982,إتحاد الحياتيين العرب,فاس,كلية العلوم,1982,356,العلوم البيولوجية,14270
336.6/05,العمليات المصرفية الدولية,إتحاد المصارف العربية,باريس,إتحاد المصارف العربية والفرنسية,1978,217,تمويل المؤسسات الإقتصادية,14271
336.6/08,الوحدات المصرفية الخارجية بالدول العربية,إتحاد المصاريف العربية,N/A,إتحاد المصاريف العربية,N/A,61,تمويل المؤسسات الاقتصادية,14272
