Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
634.0/01,استثمار منتجات الغابات,"النجار, لطيف",بغداد,وزارة التعليم العالي والبحث العلمي,1980,189,علم الغابات,18437
634.0/02,تكنولوجيا الخشب,"النجار, لطيف",بغداد,وزراة التعليم العالي والبحث العلمي,1981,368,علم الغابات,18438
953/02,دراسات في تاريخ الخليج العربي المعاصر,"النجار, مصطفى عبد القادر",البصرة,جامعة الدول العربية,1978,114,تاريخ الولاية العربية,18439
53/21,الفيزياء للمهندسين,"النجار, معديوسف",جامعة دمشق,مديرية الكتب والمطبوعات,1990,420,الفيزياء,18441
03:38/01,معجم المصطلحات التجارية والمصرفية,"النجفي, حسن",بيروت,دار الكتاب العربي,1978,543,المعجم التجاري المصرفي,18442
541.1/09,الكيمياء الفيزيائية,"النجم, أحمد",حلب,مديرية الكتب والمطبوعات الجامعية,1988,431,الكيمياء الفيزيائية,18443
37/06,الأسس الإجتماعية للتربية,"النجيحي, محمد لبيب",القاهرة,مكتبة الانجلو المصرية,1978,384,التربية والتعليم,18444
37/07,في الفكر التربوي,"النجيحي, محمد لبيب",بيروت,دار النهضة العربية,1981,420,التربية والتعليم,18445
37/16,مقدمة في فلسفة التربية,"النجيحي, محمد لبيب",بيروت,دار النهضة العربية,1981,441,فلسفة التربية,18446
801.56/50,كتاب شرح أبيات سيبويه,"النحاس, أبو جعفر أحمد بن محمد",N/A,مكتبة النهضة العربية,1986,193,النحو العربي,18447
091:82/01 ق1,تفسير القصائد التسع المعلقات,"النحاس, أبو جعفر أحمد بن محمد",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1985,434,مخطوطات: الأدب,18448
801.56/51,شرح أبيات سيبويه,"النحاس, أبو جعفر أحمد بن محمد",حلب,مطابع المكتبة العربية,1974,432,النحو العربي,18450
617/01,الجراحة الصغرى,"النحاس, وليد",دمشق,جامعة دمشق,1992,334,الجراحة,18451
576.8/09,علم الاحياء الدقيقة,"النخال, حمزة محمد محمد السيد",القاهرة,N/A,1987,824,علم الاحياء المجهرية,18452
341.18/01,معهد البحوث والدراسات العربية,الندوة العلمية عن المضمون السياسي للحوار العربي الاوربي,القاهرة,N/A,1977,215,مؤتمرات دولية,18453
297.15/17,الصراع بين الإيمان والمادية,"الندوي, أبو الحسن علي",الكويت,دار القلم,1983,122,القرآن : دراسات,18454
297.42/17,"الأركان الأربعة (الصلاة, الزكاة, الصوم, الحج) في ضوء الكتاب والسنة : مقارنة مع الأديان الأخرى","الندوي, أبو الحسن علي الحسني",الكويت,دار القلم,1978,303,العبادات,18455
297.7/15,رجال الفكر والدعوة في الإسلام. الجزء الأول,"الندوي, أبو الحسن علي الحسني",الكويت,دار القلم للطباعة والنشر والتوزيع,1985,301,تراجم وأعلام,18456
